country,poverty_2019,poverty_2020,poverty_2021,spike
Mali,46.27,53.95,53.47,7.2
Morocco,20.54,22.87,24.5,3.95
Haiti,53.72,49.12,56.39,2.67
Vietnam,21.19,19.97,23.64,2.46
Pakistan,21.12,21.2,22.99,1.87
Philippines,22.3,18.86,23.91,1.61
Egypt,22.38,22.8,23.66,1.28
Myanmar,21.67,19.97,22.82,1.15
Ethiopia,53.58,52.3,54.68,1.09
Uganda,52.61,48.59,53.33,0.72
India,22.24,22.27,22.92,0.68
Japan,0.91,0.98,0.96,0.05
Burkina Faso,50.89,53.29,50.79,-0.09
USA,0.96,0.91,0.81,-0.15
Germany,1.09,0.93,0.8,-0.3
France,0.97,0.99,0.63,-0.34
Afghanistan,53.82,51.12,53.46,-0.36
UK,1.23,0.8,0.71,-0.52
South Korea,1.13,0.74,0.59,-0.55
Australia,1.39,1.04,0.71,-0.67
Canada,1.25,0.92,0.54,-0.71
Mexico,7.11,6.54,6.1,-1.01
Brazil,6.98,4.96,5.96,-1.01
Indonesia,7.44,5.8,6.16,-1.28
Kenya,24.35,23.43,23.04,-1.31
Peru,7.38,7.22,5.97,-1.42
Sudan,52.24,55.27,50.69,-1.55
South Africa,7.06,6.2,5.29,-1.76
Nigeria,23.13,22.58,21.34,-1.79
China,6.69,5.63,4.81,-1.88
Cambodia,23.69,24.06,21.77,-1.92
Ghana,23.54,20.8,21.36,-2.17
Bangladesh,23.88,22.52,21.61,-2.28
Senegal,23.28,17.28,20.87,-2.41
Colombia,8.45,5.97,5.55,-2.9
Tanzania,53.31,53.28,50.26,-3.04
Turkey,7.86,6.09,4.68,-3.19
Yemen,51.5,51.21,48.24,-3.26
Nepal,53.87,53.41,50.46,-3.4
Mozambique,56.33,53.02,50.56,-5.77
