country,poverty_2019,poverty_2024,gini_2019,gini_2024,gini_change
Morocco,20.54,20.47,38.09,43.4,5.3
Peru,7.38,5.48,44.15,47.48,3.33
Vietnam,21.19,19.71,40.14,42.94,2.8
Myanmar,21.67,20.76,40.87,43.49,2.62
France,0.97,0.5,30.18,32.74,2.56
Ghana,23.54,20.63,40.1,42.19,2.09
South Africa,7.06,4.03,46.43,48.31,1.88
Colombia,8.45,4.47,46.23,48.03,1.8
Kenya,24.35,19.95,40.81,42.51,1.69
Nigeria,23.13,22.36,40.37,42.01,1.64
UK,1.23,0.5,32.35,33.93,1.58
Burkina Faso,50.89,47.06,47.23,48.71,1.48
South Korea,1.13,0.5,31.6,32.83,1.23
Senegal,23.28,17.91,40.5,41.68,1.18
Turkey,7.86,5.65,47.45,48.55,1.1
Haiti,53.72,47.54,45.96,47.0,1.04
Mexico,7.11,4.69,47.3,48.21,0.91
Canada,1.25,0.55,32.2,32.87,0.67
Philippines,22.3,16.86,40.49,41.1,0.61
Tanzania,53.31,52.51,45.53,46.15,0.61
Japan,0.91,0.57,33.07,33.49,0.42
Uganda,52.61,51.14,46.39,46.31,-0.08
Sudan,52.24,50.03,47.39,47.18,-0.21
Australia,1.39,0.54,33.34,33.13,-0.21
India,22.24,19.07,40.34,39.55,-0.79
Mozambique,56.33,50.92,47.24,46.37,-0.87
Afghanistan,53.82,48.79,46.12,45.13,-0.99
Ethiopia,53.58,46.01,46.51,45.37,-1.14
Yemen,51.5,55.94,48.05,46.89,-1.16
USA,0.96,0.53,33.01,31.79,-1.22
Cambodia,23.69,18.17,42.26,41.02,-1.24
Nepal,53.87,54.05,46.77,45.47,-1.3
Indonesia,7.44,3.97,47.37,46.06,-1.31
Bangladesh,23.88,18.77,40.52,39.15,-1.37
Pakistan,21.12,19.64,41.2,39.82,-1.38
China,6.69,5.24,47.64,45.67,-1.97
Germany,1.09,0.56,34.17,31.07,-3.1
Egypt,22.38,23.16,42.58,38.92,-3.66
Brazil,6.98,3.49,49.32,45.55,-3.77
Mali,46.27,49.47,49.3,45.16,-4.14
