country,poverty_2019,poverty_2024,recovery,gdp_2019,gdp_2024,status
Ethiopia,53.58,46.01,7.57,1087.5,1203.25,Recovered
Haiti,53.72,47.54,6.18,1548.25,1664.75,Recovered
Cambodia,23.69,18.17,5.52,1832.63,2072.47,Recovered
Philippines,22.3,16.86,5.43,3958.14,4381.03,Recovered
Mozambique,56.33,50.92,5.41,600.79,654.0,Recovered
Senegal,23.28,17.91,5.37,1855.38,2114.05,Recovered
Bangladesh,23.88,18.77,5.11,2948.0,3378.4,Recovered
Afghanistan,53.82,48.79,5.03,563.92,624.0,Recovered
Kenya,24.35,19.95,4.41,2319.68,2571.35,Recovered
Colombia,8.45,4.47,3.98,7106.11,8014.53,Recovered
Burkina Faso,50.89,47.06,3.82,931.26,1038.87,Recovered
Brazil,6.98,3.49,3.48,10289.88,11816.68,Recovered
Indonesia,7.44,3.97,3.47,5063.78,5719.03,Recovered
India,22.24,19.07,3.17,2662.12,2938.47,Recovered
South Africa,7.06,4.03,3.02,7391.22,7971.33,Recovered
Ghana,23.54,20.63,2.91,2636.48,2985.81,Recovered
Mexico,7.11,4.69,2.42,11675.0,13241.15,Recovered
Turkey,7.86,5.65,2.21,11945.29,13135.48,Recovered
Sudan,52.24,50.03,2.21,815.9,903.0,Recovered
Peru,7.38,5.48,1.9,7415.78,8465.89,Recovered
Pakistan,21.12,19.64,1.48,1777.0,1974.33,Recovered
Vietnam,21.19,19.71,1.48,3953.0,4464.52,Recovered
Uganda,52.61,51.14,1.46,998.86,1118.21,Recovered
China,6.69,5.24,1.45,13864.46,15932.88,Recovered
Myanmar,21.67,20.76,0.9,1330.88,1483.68,Recovered
Australia,1.39,0.54,0.85,67836.4,77087.03,Recovered
Tanzania,53.31,52.51,0.8,1322.41,1491.83,Recovered
Nigeria,23.13,22.36,0.77,2306.0,2508.64,Recovered
UK,1.23,0.5,0.73,51717.0,57047.67,Recovered
Canada,1.25,0.55,0.7,60513.48,68215.71,Recovered
South Korea,1.13,0.5,0.63,36749.4,40155.28,Recovered
Germany,1.09,0.56,0.54,58829.76,64927.47,Recovered
France,0.97,0.5,0.47,49450.33,52510.71,Recovered
USA,0.96,0.53,0.43,84602.75,92859.42,Recovered
Japan,0.91,0.57,0.34,43340.35,49019.23,Recovered
Morocco,20.54,20.47,0.08,3795.43,4329.48,Recovered
Nepal,53.87,54.05,-0.19,1446.96,1597.17,Not Recovered
Egypt,22.38,23.16,-0.78,4096.16,4734.9,Not Recovered
Mali,46.27,49.47,-3.2,983.0,1082.22,Not Recovered
Yemen,51.5,55.94,-4.44,724.6,788.08,Not Recovered
